unit (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICON,POINT,X_pos0,Y_pos0,Z_pos0,X_pos1,Y_pos1,Z_pos1,X_pos2,Y_pos2,Z_pos2,X_pos3,Y_pos3,Z_pos3,X_pos4,Y_pos4,Z_pos4,X_pos5,Y_pos5,Z_pos5,X_pos6,Y_pos6,Z_pos6,X_pos7,Y_pos7,Z_pos7,X_pos8,Y_pos8,Z_pos8
,1,187.2404186,10.96467287,1711.985543,236.7703119,17.03674404,1711.528486,136.9212963,20.25264868,1711.642963,186.7095677,-119.5954774,1707.884581,186.6623966,137.2327672,1706.644914,138.3791854,147.9682049,1703.591268,188.3589328,-703.8420588,1670.055378,342.9299457,-591.9442663,738.1751848,262.9144931,-608.2454931,987.3443333
,2,-192.5500659,42.09998953,1714.282364,-143.0493761,49.27050046,1714.154954,-243.0938624,54.13610847,1714.024339,-193.4141097,-85.63757935,1712.685032,-193.1431466,170.9233793,1706.88569,-243.3033756,182.2053561,1705.754683,-173.6117731,-583.1124454,1683.218235,NA,NA,NA,124.5924931,-572.3570694,974.0666597
,3,23.78761318,354.7779457,1710.803992,74.58284725,361.6870229,1709.343578,-24.4944328,365.3954709,1708.736138,25.25439097,224.9056903,1731.342516,25.45394224,481.2008793,1681.455862,-24.47204244,492.3450439,1678.342878,112.3877479,-332.7918403,1696.431849,66.06799293,-590.0761576,734.4158967,-6.308025556,-544.0480069,974.1612986
,4,-5.846798566,156.5752209,1526.511163,44.02248211,162.5015459,1525.915872,-55.71813704,166.2254497,1525.599259,-5.93449929,40.43470903,1533.485161,-5.579323103,270.5690086,1511.667069,-55.5618722,280.4358878,1509.914098,36.99270504,-503.3604538,1500.340924,NA,NA,NA,-145.7654167,-511.5336458,976.6733889
,5,2.989371085,159.6932829,1398.317481,52.90734083,164.9998119,1397.544954,-46.95921323,168.5831058,1397.34127,2.801931677,52.44301548,1405.714387,3.233812672,264.5573276,1383.467414,-46.79345561,273.602922,1381.727122,45.81467647,-494.2191092,1372.502101,-214.4263696,-595.2900761,728.6729293,-275.6543264,-479.3484722,994.4590139
,6,2.294614574,158.0692132,1273.081512,52.05958716,163.234555,1272.480229,-47.65115397,166.3524815,1271.997725,1.884854516,60.22948,1280.887419,2.216669655,254.7487931,1258.660862,-47.80413561,263.1180634,1257.06478,44.74094958,-486.9810084,1247.381933,479.7960978,-574.9498315,596.1817337,426.2047292,-497.7421528,1003.353056
,7,3.836165853,158.1327907,1187.182946,53.59271651,162.740078,1186.423716,-46.16662275,165.706381,1186.03,3.660632903,65.95593742,1194.902194,3.741148103,248.3885259,1172.779138,-46.12676098,256.2362976,1171.228683,46.25524538,-481.9366807,1161.557731,344.091163,-571.7108641,593.7920652,294.4793056,-465.8207986,996.1705139
,8,512.8374186,52.1755314,999.1788566,562.4759771,56.18427385,999.0563761,462.9666138,58.6556582,998.9161958,512.8441548,-25.75548323,1000.254258,512.9662672,128.9874052,992.8293966,462.9730585,135.5631317,992.013639,562.7536891,-22.12623109,1000.288067,200.0345543,-572.2856522,593.281038,154.8793472,-433.9907083,985.0861319
,9,-132.0225,68.64108411,493.2051783,-82.32131055,70.52191422,493.1893578,-181.9446667,71.90964339,492.9913228,-132.2728452,25.58806516,496.5592968,-131.9723879,110.468931,486.9652241,-182.014678,114.115639,486.1491268,-109.6045294,-481.0373445,466.5964622,67.11336196,-572.2978152,593.0298152,25.69962847,-405.0191111,977.2765903
,10,135.6560078,38.32269147,491.9805504,185.0026881,41.9036578,491.6121101,85.46335185,42.66068413,491.9133915,135.4419613,-3.869631097,493.3408774,135.4632845,80.59220431,487.9418362,85.82481756,84.01132293,487.4619659,137.6707479,-586.0685882,458.3200336,-75.78683641,-571.155587,589.8267826,-110.9936944,-371.5301181,983.034625
,11,28.47523837,281.8602248,493.4533992,78.05347294,284.3047294,492.9481101,-21.75516561,285.6018307,492.0570053,28.04293032,238.9076581,512.4638968,28.42337414,323.6675948,472.783069,-21.16710829,327.7609317,471.1848537,105.5479916,-323.2565546,477.9784622,-212.959375,-573.6621902,585.6515598,-241.3566319,-339.5919583,1000.687708
,12,-639.0855426,206.227314,36.69574767,-589.3058991,206.6388211,35.97939495,-688.7103386,207.2218307,35.82887249,-639.1191677,195.2708452,50.81851097,-638.937569,216.1855086,22.87084655,-688.7251415,217.0758488,21.56024,-639.926521,366.9556639,61.2028605,-351.9244076,-583.3396033,584.5993696,-378.1202014,-308.3348264,1012.185417
,13,-207.9328643,254.3417636,17.38954496,-158.2173624,254.6880459,16.70355413,-257.673672,255.0771852,16.18962434,-208.0702839,244.5214065,34.82547032,-207.970319,262.9361552,-0.047762006,-257.8382976,263.6463073,-1.713063463,-156.0869496,246.5639076,35.09386218,479.1418207,-557.386913,453.8455652,455.8717639,-356.5179236,1009.874722
,14,218.5128682,251.1200969,17.30629535,268.2710413,251.398133,16.21833486,168.9580265,251.7320688,15.86301746,218.4584903,241.2018129,34.43872516,218.6319741,259.5720431,-0.281639647,168.9461951,260.067278,-1.734736488,272.1003025,241.4471345,34.18519496,344.1803859,-558.0941467,451.8025978,325.3735208,-327.3101042,999.8302847
,15,631.2251279,240.7126783,36.07592519,681.1355459,241.1737936,35.13128119,581.6169577,241.5208466,34.8674582,631.7713677,229.4160452,53.0024729,631.46625,250.5682931,19.19915259,581.8877024,250.9507122,17.73523902,695.4594034,20.29600504,40.15240084,203.3354348,-557.0265543,449.1367011,189.3427847,-293.4290903,987.0780556
,16,215.1667442,-304.5334535,25.22912093,264.9448532,-304.3811972,26.2942789,165.6057725,-303.7297672,27.51679947,215.2908903,-313.7523097,3.443329226,215.6430345,-293.9048534,46.67323017,165.6108439,-293.3441122,48.05752195,265.8094202,-313.9804286,0.637477894,67.51990272,-555.5752283,450.0134076,56.97736944,-265.0531736,981.1077153
,17,-211.5661124,-300.2628605,18.70572946,-161.6678991,-299.7317156,19.79728073,-261.0528677,-299.4255132,20.94554339,-211.0454194,-308.8148903,-2.051136903,-211.0634741,-290.4404655,39.79805948,-260.8094878,-289.358361,41.52570488,-161.5207143,-307.4369328,0.107974703,-73.54373859,-554.7659783,450.3428859,-78.07786944,-234.3246944,982.4395764
,18,80.24184147,-743.8515388,14.83193837,130.0173303,-743.425211,17.42320183,30.45815608,-742.9625185,19.14928466,80.10266452,-751.2366839,-35.92072968,80.14137069,-733.2492328,67.32556983,30.46775073,-732.1995073,71.54334927,-29.70258319,-844.0106891,214.3992017,-208.5466087,-559.661413,443.1738315,-207.7688819,-199.5026667,995.9230417
,19,-61.10427752,-742.3705775,16.6066845,-11.14983257,-741.9751239,19.13166055,-110.6609048,-741.1872698,18.87979101,-60.86629613,-749.4164903,-35.7516329,-60.9611819,-731.5070948,67.54936207,-110.7393366,-730.2331512,71.74784976,-124.8083697,-740.7343445,221.588563,-349.37775,-565.7775598,442.7263261,-344.4636667,-168.9008542,1012.439792
